,0
0,1
1,1
2,1
3,1
4,2
5,1
6,2
7,1
8,0
9,1
10,3
11,0
12,2
13,1
14,0
15,1
16,1
17,3
18,2
19,1
20,2
21,1
22,0
23,1
24,3
25,3
26,3
27,3
28,0
29,2
30,3
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,3
40,0
41,0
42,0
43,2
44,3
45,0
46,1
47,1
48,0
49,3
50,1
51,3
52,1
53,0
54,0
55,1
56,3
57,3
58,1
59,0
60,3
61,1
62,3
63,3
64,1
65,0
66,0
67,3
68,2
69,1
70,3
71,1
72,0
73,1
74,0
75,1
76,2
77,1
78,2
79,2
80,2
81,3
82,3
83,0
84,3
85,1
86,0
87,0
88,3
89,0
90,2
91,3
92,3
93,3
94,3
95,1
96,1
97,3
98,1
99,1
100,3
101,1
102,1
103,3
104,2
105,3
106,3
107,0
108,0
109,0
110,1
111,2
112,0
113,1
114,1
115,1
116,0
117,2
118,2
119,0
120,3
121,1
122,3
123,3
124,3
125,1
126,1
127,1
128,1
129,0
130,3
131,2
132,1
133,0
134,3
135,2
136,0
137,0
138,1
139,1
140,1
141,3
142,0
143,3
144,1
145,3
146,1
147,0
148,0
149,2
150,3
151,2
152,3
153,0
154,1
155,1
156,3
157,0
158,0
159,0
160,0
161,1
162,3
163,0
164,0
165,3
166,3
167,1
168,0
169,1
170,1
171,1
172,0
173,3
174,0
175,2
176,2
177,0
178,0
179,1
180,3
181,3
182,3
183,2
184,0
185,0
186,3
187,0
188,2
189,0
190,0
191,0
192,1
193,0
194,2
195,1
196,1
197,2
198,2
199,1
200,0
201,0
202,1
203,0
204,1
205,3
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,3
214,1
215,0
216,0
217,2
218,0
219,3
220,1
221,3
222,3
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,3
231,3
232,1
233,1
234,3
235,0
236,0
237,0
238,1
239,1
240,2
241,0
242,3
243,0
244,1
245,1
246,3
247,0
248,3
249,1
250,1
251,1
252,1
253,0
254,2
255,1
256,1
257,1
258,0
259,0
260,2
261,0
262,2
263,3
264,1
265,3
266,1
267,3
268,1
269,0
270,0
271,0
272,1
273,2
274,2
275,3
276,1
277,3
278,1
279,2
280,0
281,1
282,3
283,3
284,2
285,0
286,2
287,3
288,2
289,1
290,3
291,0
292,0
293,0
294,1
295,3
296,2
297,1
298,1
299,3
300,1
301,1
302,0
303,3
304,1
305,1
306,0
307,1
308,0
309,3
310,3
311,1
312,1
313,0
314,1
315,1
316,0
317,3
318,0
319,3
320,2
321,1
322,3
323,1
324,0
325,3
326,2
327,0
328,1
329,1
330,0
331,1
332,1
333,3
334,3
335,3
336,3
337,0
338,3
339,1
340,3
341,3
342,1
343,3
344,3
345,0
346,2
347,0
348,3
349,3
350,0
351,0
352,0
353,2
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,3
363,3
364,1
365,3
366,3
367,2
368,1
369,2
370,3
371,1
372,0
373,0
374,3
375,2
376,2
377,1
378,3
379,1
380,0
381,3
382,0
383,0
384,2
385,2
386,1
387,3
388,0
389,1
390,1
391,0
392,0
393,3
394,1
395,0
396,2
397,3
398,1
399,0
400,3
401,0
402,1
403,1
404,0
405,3
406,0
407,3
408,0
409,1
410,3
411,0
412,2
413,1
414,0
415,1
416,1
417,3
418,1
419,1
420,3
421,3
422,3
423,2
424,1
425,1
426,3
427,3
428,0
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,3
437,0
438,0
439,3
440,1
441,2
442,3
443,1
444,0
445,1
446,0
447,2
448,0
449,3
450,1
451,1
452,3
453,1
454,0
455,1
456,1
457,1
458,0
459,1
460,3
461,3
462,0
463,1
464,0
465,1
466,1
467,3
468,0
469,3
470,3
471,1
472,1
473,3
474,1
475,1
476,2
477,3
478,3
479,0
480,1
481,1
482,0
483,0
484,1
485,3
486,3
487,2
488,1
489,3
490,0
491,0
492,0
493,3
494,0
495,3
496,3
497,3
498,3
499,3
500,1
501,2
502,2
503,1
504,0
505,1
506,1
507,3
508,1
509,0
510,0
511,2
512,2
513,2
514,0
515,0
516,0
517,3
518,3
519,2
520,3
521,1
522,2
523,0
524,1
525,1
526,1
527,2
528,1
529,1
530,3
531,2
532,3
533,0
534,3
535,3
536,1
537,0
538,1
539,2
540,0
541,3
542,1
543,0
544,0
545,3
546,1
547,0
548,3
549,3
550,0
551,3
552,0
553,1
554,1
555,1
556,0
557,1
558,3
559,3
560,1
561,1
562,0
563,1
564,3
565,3
566,0
567,3
568,0
569,1
570,3
571,0
572,1
573,3
574,3
575,1
576,1
577,3
578,3
579,0
580,3
581,3
582,0
583,3
584,1
585,3
586,1
587,0
588,1
589,1
590,1
591,0
592,1
593,3
594,1
595,1
596,3
597,3
598,2
599,1
600,1
601,3
602,3
603,1
604,3
605,3
606,2
607,1
608,0
609,2
610,3
611,1
612,1
613,3
614,0
615,1
616,1
617,2
618,1
619,0
620,3
621,3
622,1
623,2
624,0
625,3
626,3
627,1
628,3
629,1
630,1
631,0
632,3
633,2
634,1
635,0
636,3
637,3
638,2
639,3
640,3
641,1
642,0
643,3
644,3
645,1
646,2
647,3
648,0
649,0
650,3
651,0
652,3
653,0
654,1
655,3
656,0
657,0
658,3
659,3
660,2
661,1
662,0
663,3
664,3
665,3
666,3
667,0
668,0
669,1
670,0
671,3
672,3
673,2
674,0
675,1
676,0
677,1
678,2
679,3
680,2
681,2
682,1
683,2
684,0
685,2
686,2
687,3
688,2
689,0
690,0
691,0
692,0
693,2
694,1
695,1
696,3
697,1
698,0
699,2
700,0
701,0
702,0
703,1
704,1
705,3
706,1
707,3
708,0
709,1
710,3
711,2
712,0
713,1
714,0
715,1
716,1
717,3
718,1
719,1
720,1
721,3
722,2
723,1
724,1
725,1
726,3
727,0
728,0
729,0
730,1
731,3
732,1
733,1
734,1
735,0
736,1
737,0
738,3
739,1
740,3
741,3
742,0
743,2
744,1
745,0
746,3
747,0
748,0
749,1
750,3
751,1
752,0
753,1
754,3
755,3
756,0
757,0
758,1
759,1
760,3
761,1
762,1
763,2
764,1
765,0
766,0
767,1
768,3
769,0
770,1
771,0
772,3
773,0
774,0
775,1
776,0
777,3
778,0
779,2
780,0
781,3
782,3
783,2
784,1
785,2
786,2
787,1
788,1
789,0
790,0
791,0
792,3
793,1
794,0
795,1
796,3
797,3
798,1
799,1
800,0
801,1
802,0
803,0
804,1
805,1
806,1
807,1
808,1
809,3
810,1
811,0
812,1
