,index,full_name,club,age,league
0,0,C. Ronaldo dos Santos Aveiro,Real Madrid CF,32,Spanish Primera División
1,1,Lionel Messi,FC Barcelona,30,Spanish Primera División
2,2,Neymar da Silva Santos Jr.,Paris Saint-Germain,25,French Ligue 1
3,3,Luis Suárez,FC Barcelona,30,Spanish Primera División
4,4,Manuel Neuer,FC Bayern Munich,31,German Bundesliga
5,5,Robert Lewandowski,FC Bayern Munich,28,German Bundesliga
6,6,David De Gea Quintana,Manchester United,26,English Premier League
7,7,Eden Hazard,Chelsea,26,English Premier League
8,8,Toni Kroos,Real Madrid CF,27,Spanish Primera División
9,9,Gonzalo Higuaín,Juventus,29,Italian Serie A
10,10,Sergio Ramos García,Real Madrid CF,31,Spanish Primera División
11,11,Kevin De Bruyne,Manchester City,26,English Premier League
12,12,Thibaut Courtois,Chelsea,25,English Premier League
13,13,Alexis Sánchez,Arsenal,28,English Premier League
14,14,Luka Modri?,Real Madrid CF,31,Spanish Primera División
15,15,Gareth Bale,Real Madrid CF,27,Spanish Primera División
16,16,Sergio Agüero,Manchester City,29,English Premier League
17,17,Giorgio Chiellini,Juventus,32,Italian Serie A
18,18,Gianluigi Buffon,Juventus,39,Italian Serie A
19,19,Paulo Dybala,Juventus,23,Italian Serie A
20,20,Jan Oblak,Atlético Madrid,24,Spanish Primera División
21,21,Antoine Griezmann,Atlético Madrid,26,Spanish Primera División
22,22,Thiago Alcântara,FC Bayern Munich,26,German Bundesliga
23,23,Pierre-Emerick Aubameyang,Borussia Dortmund,28,German Bundesliga
24,24,Leonardo Bonucci,Milan,30,Italian Serie A
25,25,Jérôme Boateng,FC Bayern Munich,28,German Bundesliga
26,26,Diego Godín,Atlético Madrid,31,Spanish Primera División
27,27,Mats Hummels,FC Bayern Munich,28,German Bundesliga
28,28,Mesut Özil,Arsenal,28,English Premier League
29,29,Hugo Lloris,Tottenham Hotspur,30,English Premier League
30,30,Thiago Emiliano da Silva,Paris Saint-Germain,32,French Ligue 1
31,31,Zlatan Ibrahimovi?,Manchester United,35,English Premier League
32,32,Arjen Robben,FC Bayern Munich,33,German Bundesliga
33,33,N'Golo Kanté,Chelsea,26,English Premier League
34,34,Marco Verratti,Paris Saint-Germain,24,French Ligue 1
35,35,Paul Pogba,Manchester United,24,English Premier League
36,36,Christian Eriksen,Tottenham Hotspur,25,English Premier League
37,37,Arturo Vidal,FC Bayern Munich,30,German Bundesliga
38,38,Edinson Cavani,Paris Saint-Germain,30,French Ligue 1
39,39,Marcelo Vieira da Silva,Real Madrid CF,29,Spanish Primera División
40,40,Marek Hamšík,Napoli,29,Italian Serie A
41,41,Ivan Rakiti?,FC Barcelona,29,Spanish Primera División
42,42,David Josué Jiménez Silva,Manchester City,31,English Premier League
43,43,Samir Handanovi?,Inter,32,Italian Serie A
44,44,Gerard Piqué Bernabeu,FC Barcelona,30,Spanish Primera División
45,45,Andrés Iniesta Luján,FC Barcelona,33,Spanish Primera División
46,46,Harry Kane,Tottenham Hotspur,23,English Premier League
47,47,James Rodríguez,FC Bayern Munich,25,German Bundesliga
48,48,Francisco Román Alarcón Suárez,Real Madrid CF,25,Spanish Primera División
49,49,David Alaba,FC Bayern Munich,25,German Bundesliga
50,50,Romelu Lukaku,Manchester United,24,English Premier League
51,51,Alex Sandro Lobo Silva,Juventus,26,Italian Serie A
52,52,Thomas Müller,FC Bayern Munich,27,German Bundesliga
53,53,Sergio Busquets Burgos,FC Barcelona,28,Spanish Primera División
54,54,Philippe Coutinho Correia,Liverpool,25,English Premier League
55,55,Marco Reus,Borussia Dortmund,28,German Bundesliga
56,56,Toby Alderweireld,Tottenham Hotspur,28,English Premier League
57,57,David Luiz Moreira Marinho,Chelsea,30,English Premier League
58,58,Diego da Silva Costa,Chelsea,28,English Premier League
59,59,Radja Nainggolan,Roma,29,Italian Serie A
60,60,Javier Martínez Aginaga,FC Bayern Munich,28,German Bundesliga
61,61,Dries Mertens,Napoli,30,Italian Serie A
62,62,Sokratis Papastathopoulos,Borussia Dortmund,29,German Bundesliga
63,63,João Miranda de Souza Filho,Inter,32,Italian Serie A
64,64,Karim Benzema,Real Madrid CF,29,Spanish Primera División
65,65,Francesc Fàbregas i Soler,Chelsea,30,English Premier League
66,66,Franck Ribéry,FC Bayern Munich,34,German Bundesliga
67,67,Képler Laveran Lima Ferreira,Be?ikta? JK,34,Turkish Süper Lig
68,68,Petr ?ech,Arsenal,35,English Premier League
69,69,Yannick Carrasco,Atlético Madrid,23,Spanish Primera División
70,70,Raphaël Varane,Real Madrid CF,24,Spanish Primera División
71,71,Álvaro Borja Morata Martín,Chelsea,24,English Premier League
72,72,Carlos Henrique Venancio Casimiro,Real Madrid CF,25,Spanish Primera División
73,73,Lorenzo Insigne,Napoli,26,Italian Serie A
74,74,Jorge Resurrección,Atlético Madrid,25,Spanish Primera División
75,75,Alexandre Lacazette,Arsenal,26,English Premier League
76,76,Keylor Navas,Real Madrid CF,30,Spanish Primera División
77,77,Henrikh Mkhitaryan,Manchester United,28,English Premier League
78,78,Danijel Subaši?,AS Monaco,32,French Ligue 1
79,79,Bernd Leno,Bayer 04 Leverkusen,25,German Bundesliga
80,80,Marc-André ter Stegen,FC Barcelona,25,Spanish Primera División
81,81,Kamil Glik,AS Monaco,29,French Ligue 1
82,82,Jordi Alba Ramos,FC Barcelona,28,Spanish Primera División
83,83,?lkay Gündo?an,Manchester City,26,English Premier League
84,84,César Azpilicueta Tanco,Chelsea,27,English Premier League
85,85,Ángel Di María,Paris Saint-Germain,29,French Ligue 1
86,86,Miralem Pjani?,Juventus,27,Italian Serie A
87,87,Claudio Marchisio,Juventus,31,Italian Serie A
88,88,Jan Vertonghen,Tottenham Hotspur,30,English Premier League
